time_yr,target,projectile,Mt_Mearth,Mp_Mearth,Rt_km,Rp_km,vimp/vesc,vimp_km/s,b,m_frag_Mearth,Regime
5303.806,FRAG1025,E26,0.005788877788877789,0.005,1401.281,1334.495,6.9684,12.363,0.5294672935293008,0.010556450216450216,Graze+Frag
108281.001,E52,E346,0.03657355402080553,0.004999999999999937,2590.495,1334.495,2.6456,7.6925,0.6719463691045863,0.02090007992007992,Hit+Run
137429.054,E118,E148,0.9836451262712548,0.005,7761.398,1334.495,1.3045,12.150,0.9908356198713474,0.0,Hit+Run
289541.544,NEPTUNE,K175,16.029423909423908,0.02,19677.34,2118.379,0.9998,24.238,0.9094883232312767,0.0,Perfect
413655.525,E116,E270,0.005,0.005,1334.495,1334.495,3.6332,6.2830,0.95045,0.0,Hit+Run
474990.367,E118,FRAG1026,0.9836451262712548,0.005788877788877789,7761.398,1401.281,1.0498,9.7464,0.5403436840250103,0.0,Merge
537047.909,E118,E148,0.9894340040601326,0.005,7776.594,1334.495,1.1505,10.738,0.8133293314140017,0.0,Merge
861680.836,E217,FRAG1012,0.09000000000000004,0.008240551864934526,3497.368,1576.325,1.1067,4.3508,0.3960798211939062,0.0,Merge
916893.02,E118,E108,0.9944340040601326,0.005527805527805528,7789.672,1379.890,1.2896,12.031,0.8417834114038224,0.0,Merge
983574.064,E2,FRAG1037,0.007813807203806717,0.007238416625899401,1548.631,1509.645,7.3963,14.659,0.6630965015029631,0.009524475524475525,Graze+Frag
1257369.11,URANUS,K341,15.92942390942391,0.02,19636.34,2118.379,1.0001,24.193,0.18287169395729583,0.0,Merge
1643585.212,FRAG1027,FRAG0001,0.007871824961223087,0.009524475524475525,1552.454,1654.274,3.6616,7.6194,0.5870972889069753,0.009722943722943723,Graze+Frag
1694643.498,E118,E396,0.9999618095879381,0.005,7804.079,1334.495,1.4479,13.565,0.8011103185455916,0.0,Merge
2098728.269,FRAG1034,FRAG1041,0.007934055249642857,0.006886385048869042,1556.535,1484.764,3.934,7.7587,0.6356035622660633,0.0074741924741924745,Graze+Frag
2193722.701,NEPTUNE,K224,16.049423909423908,0.02,19685.52,2118.379,1.0002,24.259,0.24990722259965512,0.0,Merge
2583889.879,E37,E365,0.02,0.005,2118.379,1334.495,3.431,8.2481,0.6614270612687181,0.0,Hit+Run
2618277.57,FRAG1027,E97,0.007673356762754886,0.005,1539.296,1334.495,4.8212,9.0454,0.7282995299313724,0.0,Hit+Run
2621824.404,FRAG1027,E97,0.007673356762754886,0.005,1539.296,1334.495,1.0197,1.9131,0.6049433618478282,0.0,Graze+Merge
2674660.666,E140,FRAG1033,0.03825626475696837,0.006538139222551619,2629.630,1459.302,1.5167,4.4850,0.7596406476407299,0.0,Hit+Run
2695314.733,FRAG1019,E106,0.014391273483448687,0.005,1898.279,1334.495,2.9241,6.3983,0.9407501832142645,0.0,Hit+Run
2945767.583,E242,E100,0.01,0.005,1681.359,1334.495,8.1155,16.170,0.9466463188264973,0.0,Hit+Run
3134850.978,E68,E256,0.005,0.004999999999999997,1334.495,1334.495,2.2728,3.9304,0.44075000000000003,0.0,Merge
3190004.33,E118,E89,1.004961809587938,0.005,7817.064,1334.495,1.6097,15.108,0.6373878775707696,0.0,Merge
3206587.352,E52,E370,0.03657355402080553,0.005,2590.495,1334.495,1.5897,4.6223,0.19522810724009068,0.0,Merge
3311438.948,E121,E52,0.11310645065656993,0.04157355402080553,3774.183,2703.540,1.2743,5.5633,0.8621911695962321,0.0,Hit+Run
3471236.772,E68,E297,0.009999999999999997,0.005,1681.359,1334.495,4.469,8.9044,0.756425044395637,0.0,Hit+Run
3480752.187,FRAG1023,E106,0.005788877788877789,0.005,1401.281,1334.495,4.7354,8.4015,0.6563919286618932,0.007002071262071262,Graze+Frag
3596100.489,FRAG1036,E214,0.009343644019300882,0.005,1643.738,1334.495,2.7406,5.3734,0.6397270756363203,0.0,Hit+Run
3738528.884,E5,FRAG1025,0.07,0.010788877788877788,3216.324,1724.457,1.8623,6.7279,0.8687908725907221,0.0,Hit+Run
4203124.825,E118,E216,1.009961809587938,0.005000000000000004,7830.007,1334.495,1.4223,13.372,0.48571746242129815,0.0,Merge
4747322.018,E5,FRAG1001,0.07,0.010652209300975825,3216.324,1717.145,1.6251,5.8704,0.9015021050603524,0.0,Hit+Run
4749833.917,E118,E9,1.0149618095879378,0.01,7842.907,1681.359,1.1756,10.895,0.8948602317585299,0.0,Hit+Run
4755023.606,E118,E9,1.0149618095879378,0.01,7842.907,1681.359,1.0481,9.7140,0.8021379881807158,0.0,Merge
4966245.709,E5,E296,0.07,0.005,3216.324,1334.495,2.244,8.1389,0.32814732247752876,0.0,Merge
