J,M,QS,syn,src,lJ,lM,lQS
0.0513,0.149,2.51,1,Postema,-1.2898826348881838,-0.826813731587726,0.3996737214810381
0.0578,0.148,3.32,1,Postema,-1.238072161579471,-0.8297382846050426,0.5211380837040362
0.0611,0.14,5.64,1,Postema,-1.2139587897574458,-0.8538719643217619,0.7512791039833423
0.0715,0.149,2.54,1,Postema,-1.1456939581989194,-0.826813731587726,0.40483371661993806
0.0846,0.149,3.24,1,Postema,-1.0726296369609765,-0.826813731587726,0.5105450102066121
0.0445,0.124,5.15,0,Postema,-1.3516399890190685,-0.906578314837765,0.7118072290411911
0.0979,0.149,2.92,0,Postema,-1.009217308196862,-0.826813731587726,0.4653828514484183
0.115,0.149,3.86,1,Postema,-0.9393021596463883,-0.826813731587726,0.5865873046717549
0.123,0.149,5.06,0,Postema,-0.9100948885606021,-0.826813731587726,0.7041505168397991
0.123,0.148,5.58,0,Postema,-0.9100948885606021,-0.8297382846050426,0.7466341989375788
0.734,0.747,7.68,1,Postema,-0.13430394008392949,-0.12667939818460122,0.885361220031512
0.833,0.743,10.2,1,Postema,-0.07935499859321243,-0.1290111862394247,1.0086001717619175
0.865,0.703,17.3,1,Postema,-0.06298389253518578,-0.15304467498017607,1.2380461031287955
0.98,0.744,7.53,1,Postema,-0.00877392430750515,-0.1284270644541213,0.8767949762007006
1.18,0.741,9.95,1,Postema,0.07188200730612536,-0.13018179202067184,0.9978230807457255
0.512,0.526,15.8,1,Postema,-0.2907300390241692,-0.27901425584626094,1.1986570869544226
1.48,0.748,8.98,1,Postema,0.17026171539495738,-0.12609840213553863,0.9532763366673044
1.73,0.747,11.9,1,Postema,0.2380461031287954,-0.12667939818460122,1.0755469613925308
1.83,0.749,15.6,1,Postema,0.26245108973042947,-0.12551818230053352,1.1931245983544616
1.62,0.733,17.2,1,Postema,0.20951501454263097,-0.13489602535887207,1.235528446907549
1.97,1.36,11.8,1,Postema,0.2944662261615929,0.13353890837021754,1.0718820073061255
2.23,1.35,15.8,1,Postema,0.34830486304816066,0.13033376849500614,1.1986570869544226
2.29,1.28,26.5,1,Postema,0.359835482339888,0.10720996964786837,1.423245873936808
2.67,1.35,11.5,1,Postema,0.42651126136457523,0.13033376849500614,1.0606978403536116
3.22,1.35,15.2,1,Postema,0.5078558716958309,0.13033376849500614,1.1818435879447726
1.37,0.937,24.2,1,Postema,0.1367205671564068,-0.02826040911222171,1.3838153659804313
3.97,1.36,13.8,1,Postema,0.5987905067631151,0.13353890837021754,1.1398790864012365
4.26,1.35,18.2,1,Postema,0.6294095991027189,0.13033376849500614,1.2600713879850747
4.68,1.35,24.0,1,Postema,0.670245853074124,0.13033376849500614,1.380211241711606
4.43,1.33,26.4,1,Postema,0.6464037262230695,0.12385164096708581,1.421603926869831
4.86,1.93,14.9,1,Postema,0.6866362692622934,0.28555730900777376,1.173186268412274
5.89,1.93,19.7,1,Postema,0.7701152947871016,0.28555730900777376,1.294466226161593
7.25,1.94,17.9,0,Postema,0.8603380065709937,0.287801729930226,1.252853030979893
8.55,1.93,31.1,0,Postema,0.9319661147281727,0.28555730900777376,1.4927603890268375
0.035,0.133,1.7,0,Postema,-1.4559319556497243,-0.8761483590329142,0.2304489213782739
0.0386,0.132,2.24,0,Postema,-1.413412695328245,-0.8794260687941501,0.35024801833416286
0.0402,0.126,3.82,1,Postema,-1.39577394691553,-0.8996294548824371,0.5820633629117087
0.051,0.133,1.65,0,Postema,-1.2924298239020637,-0.8761483590329142,0.21748394421390627
0.0559,0.132,2.18,0,Postema,-1.2525881921135766,-0.8794260687941501,0.33845649360460484
0.0467,0.124,3.71,0,Postema,-1.330683119433888,-0.906578314837765,0.5693739096150459
0.0727,0.133,1.98,0,Postema,-1.138465589140962,-0.8761483590329142,0.2966651902615311
0.0772,0.131,3.46,0,Postema,-1.1123826996642638,-0.8827287043442357,0.5390760987927766
0.504,0.664,5.21,1,Postema,-0.2975694635544747,-0.1778319206319825,0.7168377232995244
0.561,0.661,6.88,1,Postema,-0.25103713874383854,-0.17979854051435976,0.8375884382355113
0.578,0.632,11.7,1,Postema,-0.23807216157947098,-0.19928292171761497,1.0681858617461617
0.724,0.664,5.08,1,Postema,-0.1402614338028531,-0.1778319206319825,0.7058637122839193
0.832,0.662,6.72,1,Postema,-0.07987667370927608,-0.17914201056030005,0.8273692730538252
0.434,0.578,11.4,1,Postema,-0.3625102704874893,-0.23807216157947098,1.0569048513364727
1.03,0.665,6.13,1,Postema,0.012837224705172217,-0.17717835469689538,0.787460474518415
1.05,0.656,8.11,1,Postema,0.021189299069938092,-0.1830961606243397,0.909020854211156
0.98,0.651,10.8,1,Postema,-0.00877392430750515,-0.18641901143180803,1.0334237554869496
1.35,1.21,7.97,1,Postema,0.13033376849500614,0.08278537031645007,0.9014583213961124
1.51,1.2,10.5,1,Postema,0.17897694729316943,0.07918124604762482,1.021189299069938
1.56,1.15,17.9,1,Postema,0.1931245983544616,0.06069784035361165,1.252853030979893
1.93,1.21,7.8,1,Postema,0.28555730900777376,0.08278537031645007,0.8920946026904804
2.22,1.2,10.3,1,Postema,0.3463529744506387,0.07918124604762482,1.0128372247051722
0.91,0.998,17.5,1,Postema,-0.040958607678906384,-0.0008694587126288914,1.2430380486862944
2.73,1.21,9.43,1,Postema,0.436162647040756,0.08278537031645007,0.9745116927373284
2.98,1.2,12.5,1,Postema,0.4742162640762552,0.07918124604762482,1.0969100130080565
3.22,1.21,16.6,1,Postema,0.5078558716958309,0.08278537031645007,1.2201080880400552
3.56,1.72,10.1,1,Postema,0.5514499979728752,0.2355284469075489,1.0043213737826426
4.01,1.72,13.6,1,Postema,0.6031443726201823,0.2355284469075489,1.1335389083702174
1.33,1.39,22.7,1,Postema,0.12385164096708581,0.14301480025409505,1.3560258571931227
5.05,1.73,12.2,1,Postema,0.7032913781186614,0.2380461031287954,1.0863598306747482
5.37,1.71,21.5,1,Postema,0.7299742856995556,0.23299611039215382,1.3324384599156054
0.0258,0.116,0.8,0,Postema,-1.58838029403677,-0.9355420107730815,-0.09691001300805639
0.0271,0.115,1.06,0,Postema,-1.5670307091255944,-0.9393021596463883,0.02530586526477026
0.0243,0.111,1.81,0,Postema,-1.6143937264016879,-0.9546770212133425,0.2576785748691845
0.0343,0.116,0.95,0,Postema,-1.4647058799572295,-0.9355420107730815,-0.022276394711152253
0.0368,0.115,1.66,0,Postema,-1.4341521813264824,-0.9393021596463883,0.22010808804005508
0.369,0.581,2.49,1,Postema,-0.4329736338409396,-0.2358238676096693,0.3961993470957364
0.38,0.575,3.29,1,Postema,-0.42021640338318983,-0.24033215531036956,0.5171958979499743
0.335,0.553,5.59,1,Postema,-0.47495519296315475,-0.2572748686953017,0.7474118078864233
0.516,0.581,2.96,1,Postema,-0.28735029837278864,-0.2358238676096693,0.4712917110589386
0.535,0.576,5.19,0,Postema,-0.27164621797877153,-0.239577516576788,0.7151673578484579
0.999,1.06,3.82,1,Postema,-0.0004345117740176917,0.02530586526477026,0.5820633629117087
1.04,1.05,5.06,1,Postema,0.01703333929878037,0.021189299069938092,0.7041505168397991
0.827,1.0,8.6,1,Postema,-0.08249449044745336,0.0,0.9344984512435677
1.41,1.06,4.58,1,Postema,0.14921911265537988,0.02530586526477026,0.6608654780038692
1.34,1.04,8.04,1,Postema,0.12710479836480765,0.01703333929878037,0.9052560487484512
1.79,1.51,4.95,1,Postema,0.2528530309798932,0.17897694729316943,0.6946051989335688
1.83,1.49,6.55,1,Postema,0.26245108973042947,0.17318626841227402,0.8162412999917831
1.57,1.43,11.1,1,Postema,0.19589965240923377,0.1553360374650618,1.0453229787866574
2.51,1.51,5.95,1,Postema,0.3996737214810381,0.17897694729316943,0.7745169657285496
2.4,1.49,10.5,1,Postema,0.38021124171160603,0.17318626841227402,1.021189299069938
0.08416828537899093,1.0142782189327813,1.7748623076550527,0,TM,-1.0748515198958315,0.0061570993502938634,0.24916466649244792
0.09683716843748591,1.0132019197772866,2.27384866486338,0,TM,-1.0139579180113232,0.005696004004309967,0.3567615570087863
0.1345703352187231,1.004528132317244,2.6078973405649815,0,TM,-0.8710506657487999,0.0019621038906980437,0.41629049146798786
0.15327239127619674,1.00335967019562,3.2001205038744414,0,TM,-0.8145360669084042,0.00145664067867746,0.5051663324393925
0.16763132167832484,1.0016772579958222,3.8544985868614843,0,TM,-0.7756448308063021,0.0007278136971227131,0.5859678907858517
0.18356259391495042,1.0003576450814835,4.567616145005498,0,TM,-0.7362158139377725,0.00015529551668429033,0.6596895993729446
0.1950186343524941,0.9982720889473592,5.335466983091443,0,TM,-0.7099238890999964,-0.0007510713146274381,0.7271724367509617
0.2066148459220057,0.9961810452300236,6.153608632043548,0,TM,-0.6848384762802718,-0.0016617260349970596,0.7891298717702702
0.2144505654621523,0.993816530153024,7.017300327862998,0,TM,-0.6686728042779334,-0.0026937839091223464,0.84617006395115
0.22030322322827423,0.9911145810354324,7.921611767022406,0,TM,-0.6569791486957463,-0.003876134581461191,0.8988135541031814
0.18020966123764873,0.9987189883503428,2.91065552496419,0,TM,-0.7442219297291763,-0.0005566929319415932,0.4639908098841481
0.1946782790974704,0.9971074838918796,3.5092058860949136,0,TM,-0.7106825014555284,-0.0012580240904373546,0.5452088491421269
0.21353477293704218,0.9961641988962628,4.172455085634022,0,TM,-0.6705313924656683,-0.0016690704145059228,0.6203916704162841
0.22837148844805777,0.994735545921357,4.897237528780174,0,TM,-0.6413581175128872,-0.0022923626839133683,0.6899511689430251
0.24401634162895625,0.9930221962734456,5.6796792238700196,0,TM,-0.6125810882447456,-0.0030410439403280374,0.7543238083805427
0.25438882564498555,0.9905565110385092,6.515388366433305,0,TM,-0.5945019695460542,-0.004120743010736936,0.8139403080565811
0.2627989267357633,0.988074842832591,7.39960728432066,0,TM,-0.580376412756425,-0.005210158045819499,0.8692086712474242
0.27325503409930946,0.9857407016506612,8.327350916453542,0,TM,-0.56343182842158,-0.006237310872395385,0.920506866311742
0.27655337006005554,0.982635076200326,9.293521157760646,0,TM,-0.5582210448803404,-0.007607737322753821,0.9681802919969897
0.2737425461844701,0.9790944300013404,10.292976123083728,0,TM,-0.5626576975217834,-0.00917542009594966,1.0125409653314552
0.2756070327239988,0.9757319746460824,11.32060875065275,0,TM,-0.55970970463721,-0.010669462987066405,1.0538697810873194
0.2747994315250906,0.9722527103966934,12.37140201823679,0,TM,-0.5609841700323256,-0.012220837474730515,1.0924189198619894
0.7959782177105412,1.0301763116767657,3.389932437693539,0,TM,-0.0990988167567424,0.012911559302718445,0.5301910426782223
0.7664890661334304,1.0274359495065013,3.4755606920176856,0,TM,-0.11549403591956739,0.01175475741630886,0.5410248767841505
0.7448505911013609,1.0254227068447226,3.6298422532138854,0,TM,-0.1279308332485518,0.010902930178866666,0.5598877517448291
0.7269628605131893,1.0236282777183852,3.873606204977626,0,TM,-0.13848777605456797,0.010142274760502163,0.5881154677774865
0.7094178317222828,1.0214691765812025,4.214958224182071,0,TM,-0.14909789942587306,0.009225266080882574,0.6247932745486345
0.6808260990762373,1.0181939409393934,4.656100763015381,0,TM,-0.16696380417561965,0.007830508312774499,0.6680223703420127
0.12454409742709992,0.9943933290271036,2.8833618666324927,0,TM,-0.9046768503481415,-0.002441797858402537,0.4598991504768493
0.13799788638442712,0.992753013324176,3.6203463371539097,0,TM,-0.8601275653278199,-0.00315878603887097,0.5587501189088736
0.15006308302046456,0.9909602154953536,4.445011969091478,0,TM,-0.8237261352880855,-0.003943780971501666,0.6478729347333155
2.034365250970323,1.0451448640285452,7.188983632802684,0,TM,0.3084289290391001,0.01917649072257232,0.8566674948521011
1.9317178782818147,1.0394223477095867,7.226075942139852,0,TM,0.2859436992781673,0.016792049972526063,0.8589025214554983
1.7849098336857865,1.0311181538923992,7.521747454133895,0,TM,0.25161628222873356,0.013308433123873977,0.8763187477094433
1.6332043132193421,1.014553591531226,8.071754997397143,0,TM,0.21304051820472267,0.0062749926128989894,0.906967971254958
1.5268132692484782,1.00334941869907,8.868736144813287,0,TM,0.18378592566555438,0.0014522033953585833,0.947861734325345
1.4139051057089034,0.9927015699176286,9.90591569591129,0,TM,0.15042026274947246,-0.0031812913006759097,0.9958946276080439
1.9826552126560313,1.0378171747752964,12.872875470192447,0,TM,0.2972471961719572,0.016120853532179107,1.1096755679884607
2.078613670601097,1.0544836032304006,15.170011346822609,0,TM,0.31777377922229777,0.023039831034327163,1.1809859056292225
2.0758440895086925,1.0528296139002111,16.410753175199066,1,TM,0.317194731831155,0.02235809223926565,1.2151285135531897
2.0742197702491185,1.0507700154191877,18.177616601534144,1,TM,0.31685476938665164,0.02150767134301452,1.2595369391357596
2.2947666935138566,1.0465139747917689,6.746555194766784,1,TM,0.3607385378601702,0.01974503213426376,0.8290820777518118
2.189608338783817,1.0411022582641665,6.358297499221822,1,TM,0.3403664383484052,0.017493388510319608,0.8033408443160504
2.123441747241985,1.0385085163563772,6.2402987017632805,1,TM,0.3270403514117595,0.01641006234575939,0.7952053783719661
2.098003205095815,1.0355939872923527,6.3932309069015965,1,TM,0.32180614732482365,0.015189520235861545,0.8057203903062592
2.319552134012098,1.0493942163530097,9.782412594281936,1,TM,0.36540413812200306,0.020938666291808468,0.9904459761750048
2.3049742445047103,1.0480487403176793,9.949943257482866,1,TM,0.36266607700029807,0.020381480318316325,0.9978206040590574
2.2848554519372195,1.0455956986682948,10.497309515713898,1,TM,0.3588587302650711,0.019363787992087413,1.0210780026693567
2.2290831467780174,1.0407197664585344,11.405520186053327,0,TM,0.3481262683516606,0.017333803223531705,1.0571150974847123
2.1847113591645613,1.033296642092475,12.657255569001226,1,TM,0.3393940667514818,0.014225018063304368,1.102339549247978
1.8599089931521964,1.0051470442471224,14.23900834144798,0,TM,0.26949169435836484,0.0022295998995679636,1.153479744438932
2.2992240756603026,1.0506460998521172,12.128333595605252,1,TM,0.3615812984030916,0.02145645269415016,1.0838011339293083
2.290099053494204,1.0490392113746687,12.945360026387023,1,TM,0.3598542672549958,0.020791721716321515,1.1121141332026372
2.297379024960674,1.0467644556357008,14.204982614820924,1,TM,0.3612326516467047,0.019848967136201424,1.1524407065354094
2.2749120993965133,1.0422993989725633,15.88055716167124,1,TM,0.35696462056035755,0.01799248733663878,1.2008657353703318
2.238621356043643,1.0338790865627336,17.95224325616927,1,TM,0.3499806425351979,0.014469750451205179,1.2541187243853502
2.3100629643109922,1.0537399112093129,12.840166309714794,1,TM,0.3636238174160195,0.022733429599964303,1.1085706488826526
2.3117128158206715,1.053892985578597,13.289130309439306,1,TM,0.36393388067790644,0.02279651397686801,1.1234965600119333
